,KIC,Kpmag,numax,e_numax,Delnu,e_Delnu,Teff_x,e_Teff_x,log(g),e_log(g),[Fe/H],e_[Fe/H],Dist,E_Dist,e_Dist,luminosity_berger
15090,12156769,8.42,23.33,0.33,2.7689999999999997,0.012,4813,136,2.276,0.01,-0.05,0.3,462.655,6.551,6.388,102.61306509883916
15091,12156814,13.54,101.25,1.29,7.877000000000001,0.026000000000000002,5127,163,2.928,0.01,0.15,0.3,2931.62,141.602,129.491,37.91710155771766
15092,12156874,13.1,76.82,0.65,7.195,0.012,4929,150,2.799,0.009000000000000001,0.2,0.3,2014.261,63.778,60.143,28.13995130057815
15093,12156975,13.48,33.18,0.83,4.053999999999999,0.018000000000000002,5108,157,2.4419999999999997,0.013000000000000001,-0.06,0.3,4300.601,303.61,267.041,89.7840773088194
15094,12157006,9.45,38.71,1.6,4.2139999999999995,0.057,4816,80,2.496,0.019,-0.13,0.15,614.015,10.201,9.9,56.72239888061286
15095,12157360,12.94,46.53,1.16,4.702,0.055,5196,162,2.593,0.013999999999999999,0.01,0.3,2944.947,171.40599999999998,153.989,69.17319216855331
15096,12157465,12.56,21.69,1.47,2.9160000000000004,0.071,4616,80,2.2359999999999998,0.03,-0.09,0.15,3090.243,307.228,257.327,92.30203912476935
15097,12157642,13.98,55.86,0.48,5.6,0.017,4883,149,2.659,0.009000000000000001,0.11,0.3,3276.657,203.757,181.794,34.88456422877153
15098,12157971,13.66,29.69,0.4,4.08,0.07200000000000001,5152,155,2.396,0.01,-0.22,0.3,3732.518,252.043,222.81099999999998,57.14762544692456
15099,12157980,12.39,128.69,0.7,11.458,0.018000000000000002,5065,146,3.029,0.008,-0.58,0.3,1100.1760000000002,31.936,30.263,14.795952576605503
15100,12158327,10.91,34.3,0.62,4.164,0.027000000000000003,4710,80,2.439,0.01,0.24,0.15,1094.376,29.337,27.916999999999998,53.90208924469955
15101,12158598,15.84,118.7,1.49,10.715,0.142,5033,146,2.9930000000000003,0.009000000000000001,-0.56,0.3,5426.714,1057.027,781.824,14.402512475799117
15102,12158655,13.69,32.41,1.15,3.8560000000000003,0.163,4671,163,2.4130000000000003,0.018000000000000002,-0.44,0.3,3453.219,182.206,165.303,57.15393873945674
15103,12158667,12.46,31.79,1.0,3.872,0.023,4617,80,2.4019999999999997,0.015,0.35,0.15,2227.306,120.059,108.67299999999999,57.60792364480049
15104,12159192,13.06,127.12,0.96,10.072000000000001,0.016,4963,159,3.0189999999999997,0.009000000000000001,0.43,0.3,1743.558,42.835,40.939,21.936521704097743
15105,12159715,11.99,62.62,0.74,6.41,0.013999999999999999,4901,140,2.7089999999999996,0.009000000000000001,-0.22,0.3,1249.3410000000001,38.711999999999996,36.55,28.935802193888293
15106,12159919,11.44,175.75,1.36,13.368,0.017,5286,155,3.174,0.008,-0.05,0.3,773.1060000000001,17.111,16.429000000000002,16.502158321167474
15107,12164669,13.63,60.26,0.66,6.221,0.013999999999999999,4982,148,2.696,0.009000000000000001,-0.16,0.3,3014.6259999999997,155.841,141.649,38.61911215771263
15108,12164689,13.83,29.0,0.7,3.8110000000000004,0.028999999999999998,5148,161,2.385,0.013000000000000001,-0.1,0.3,4447.6990000000005,320.783,281.421,73.45629793215785
15109,12164879,10.68,54.29,2.48,4.785,0.027000000000000003,5226,100,2.661,0.021,-0.02,0.15,1416.13,53.8,50.135,110.51061269871975
15110,12165342,12.35,30.14,0.6,3.9139999999999997,0.038,5210,167,2.405,0.012,-0.02,0.3,2162.803,104.85,95.84700000000001,64.29943492166174
15111,12165692,12.78,99.6,0.71,9.03,0.018000000000000002,4834,80,2.908,0.006,-0.06,0.15,1698.23,63.376999999999995,59.131,22.330372637197627
15112,12166162,12.86,112.89,1.28,9.54,0.012,4950,80,2.967,0.006999999999999999,-0.13,0.15,1918.5179999999998,74.955,69.708,24.132003816445362
15113,12166441,12.97,47.46,0.64,5.006,0.013999999999999999,4680,80,2.5789999999999997,0.008,-0.13,0.15,2202.449,85.251,79.34,32.8624365635317
15114,12166463,13.7,32.07,0.81,3.801,0.015,4712,141,2.41,0.013999999999999999,0.27,0.3,3690.217,180.485,164.885,60.62898297378633
15115,12166563,13.48,120.35,0.85,9.99,0.018000000000000002,4912,158,2.9930000000000003,0.009000000000000001,0.36,0.3,2436.516,92.65799999999999,86.34200000000001,28.32028358403635
15116,12166621,13.67,163.99,1.24,13.4,0.013999999999999999,5095,159,3.136,0.009000000000000001,-0.02,0.3,1803.889,47.586000000000006,45.321999999999996,12.371672052207677
15117,12167277,13.11,130.22,1.39,10.7,0.013999999999999999,5332,159,3.045,0.009000000000000001,-0.29,0.3,1825.7179999999998,56.448,53.303000000000004,21.184637055644323
15118,12167366,13.2,27.01,0.36,3.319,0.021,4773,143,2.338,0.01,0.03,0.3,2623.6620000000003,115.124,106.134,49.57865398760488
