     TIC_ID            APOGEE_ID        GAIA_SOURCE_ID   APOGEE_TEFF   APOGEE_TEFF_ERR   APOGEE_LOGG   APOGEE_LOGG_ERR           GAIA_PARALLAX    GAIA_PARALLAX_ERROR        J   J_ERR        H   H_ERR        K   K_ERR              M_H          ALPHA_M   numax_COR   numax_err_COR   dnu_COR   dnu_err_COR   numax_BHM   numax_err_BHM    dnu_BHM   dnu_err_BHM   numax_A2Z   numax_err_A2Z   dnu_A2Z   dnu_err_A2Z  
  140796760   2M04580869-7658578   4624953657737980544      4645.956          82.59885     2.3567238        0.06315257      0.4148109075965254    0.01564266993022161    10.52   0.023    9.908   0.025    9.806   0.023      -0.28747156         0.062321       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140796806   2M04583891-7650594   4624961904075181824     4310.3423          82.46736     1.8298706       0.060410436      0.1740874193699182   0.012476003964884023   11.412   0.023   10.734   0.025   10.559   0.021      -0.50602156         0.264629       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140687100   2M04522836-7640471   4624981622268467200      4580.047         79.422646      2.495131       0.059327662      0.7217914097013284    0.02288343663438367   10.431   0.022    9.853   0.025    9.668   0.019      -0.11547155         0.087469       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140687174   2M04515868-7627329   4624985681014056576      4586.267          81.19189     2.5369112       0.056446318      0.4824868818718863   0.023237505898627102   10.958   0.021   10.354   0.023   10.272   0.023      0.033754453         0.034781       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  364537715   2M04451683-7651300   4624994270948763392      4473.521          99.74979     2.1356912       0.055726085     0.24846883784359827   0.012871951696682713   11.602   0.025   10.929   0.026   10.829   0.025      -0.26224154         0.168049       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140608318   2M04463961-7644416   4625001585276460928     4581.5776         85.155334     2.3595831       0.056941655      0.5762854137058651   0.021132269792770383   10.367   0.023    9.723   0.025    9.595   0.023     -0.050697546         0.031181       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  364537768   2M04445366-7637284   4625015196029280512     4794.1562         103.37625       2.58254       0.070066705      0.6438931514985378   0.020872933368336243   10.909   0.023   10.359   0.028   10.231   0.023      -0.69202155         0.239749       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140664710   2M04503386-7640526   4625023270567840768     4866.7114         97.239876     3.0900779       0.059911687      0.7099419514564194   0.010989182134122184   11.454   0.023   10.961   0.025   10.835   0.019      -0.01350855      0.015979998       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140664647   2M04500381-7631087   4625031345106339840      4467.447         82.078316     1.9843102       0.065610796     0.23722943540643443   0.017456065504430386   11.034   0.023   10.394   0.022   10.277   0.019      -0.60671157         0.236789       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  407621775   2M04432649-7626036   4625043783331575808      4380.634          98.88107     1.7424299       0.057205066     0.16610290419161994    0.01496154728458213    11.52   0.022   10.867   0.027   10.762   0.023      -0.44032153         0.142949       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140761294   2M04562353-7638191   4625061856554679040      4779.334         92.849434     2.4194467        0.03852897      0.3592288974091498   0.019602306254030616   11.255   0.022   10.743   0.027   10.585   0.021     -0.093037546         0.021775       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140826532   2M04594142-7609408   4625098827633004544     4830.2554         97.768974      2.634848        0.06812447      0.5126730829993248   0.021035912981269587   11.243   0.024   10.679   0.026   10.548   0.023      -0.49435154         0.072289       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140797073   2M04580472-7607153   4625111231498546944     4607.3276         78.935295     2.4232044       0.057475217      1.2044240380166058   0.024169257009975697    8.504   0.043    7.898   0.042    7.731   0.026       0.02890145      0.002877999       35.02            0.75     3.697         0.007       31.97            2.21    3.70622     0.0678943       33.26            3.98      3.73          0.21  
  140761050   2M04563411-7557160   4625122187958633984      4128.674         72.926674     1.5406561       0.053501032      0.1588123422612168    0.01502341844450235   11.145   0.023   10.376   0.023   10.175   0.023      -0.16757154         0.192749       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140761039   2M04563963-7555302   4625122604571928576      4759.539        111.390945     1.9792503        0.08812215     0.17824019026579127    0.01518002886037139   11.258   0.023     10.7   0.025   10.571   0.023       -1.5818615         0.271029       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140691826   2M04550502-7546530   4625125727011681024      4860.467          88.87228     2.8429556        0.06698709      0.8295690337445748   0.020281835285109157   10.428   0.022    9.878   0.021    9.754   0.021      -0.29958156      0.052697003       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140691839   2M04553903-7544408   4625126315423656704     4847.7476         85.910065     2.5301273        0.04007283      1.5369897677483115    0.06075358859688013    8.039   0.023    7.482   0.026    7.354   0.016      -0.01030955        -0.013432       42.32             0.9     4.435          0.01       42.62            1.89    4.36992     0.0697138     -9999.0         -9999.0   -9999.0       -9999.0  
  140687360   2M04513998-7557021   4625166172720250624      4191.057           74.4489     1.5373077       0.061799105      0.2070159927241436    0.01943852368302461    9.796   0.025    9.059   0.025     8.85   0.023      -0.60227156         0.222459       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140664297   2M04505900-7540248   4625176441985509760       4471.08         76.474106     2.4161086       0.057047386      0.7708280499328485    0.02163962577105048    10.27   0.022     9.62   0.024    9.483   0.021     -0.062453546         0.125649       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  140687514   2M04523266-7535496   4625178056893212160      4720.547         113.27055     3.4794495       0.049702317       1.595006266308596     0.0154921764733817   11.203    0.02   10.658   0.023   10.531   0.021       0.27103844        -0.103251       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
